Movie_Id,Movie_Title,Genres,Genres_id,language,popularity,release_date,runtime,status,vote_average,vote_count
5955,The Pledge,"Crime,Drama,Mystery,Thriller",1058,English,12.495436,09/01/2001,123,Released,6.5,215
10398,Double Jeopardy,"Crime,Drama,Mystery,Thriller",1058,English,19.439386,24/09/1999,105,Released,6.2,278
2118,L.A. Confidential,"Crime,Drama,Mystery,Thriller",1058,English,24.860326,19/09/1997,138,Released,7.7,1310
8197,Midnight in the Garden of Good and Evil,"Crime,Drama,Mystery,Thriller",1058,English,5.525544,21/11/1997,155,Released,6.3,157
169917,A Walk Among the Tombstones,"Crime,Drama,Mystery,Thriller",1058,English,61.309619,18/09/2014,113,Released,6.2,1131
4657,Jindabyne,"Crime,Drama,Mystery,Thriller",1058,English,8.950864,20/07/2006,123,Released,5.7,25
4997,Wonderland,"Crime,Drama,Mystery,Thriller",1058,English,7.79068,23/10/2003,104,Released,6.2,73
573,Frenzy,"Crime,Drama,Mystery,Thriller",1058,English,10.219942,25/05/1972,116,Released,7.1,158
20055,The Betrayed,"Crime,Drama,Mystery,Thriller",1058,English,1.348114,27/09/2008,98,Released,5.2,10
26791,Brigham City,"Crime,Drama,Mystery,Thriller",1058,English,0.280083,30/03/2001,119,Released,7.3,4
201088,Blackhat,"Crime,Drama,Mystery",1059,English,46.832372,13/01/2015,133,Released,5.1,826
3580,Changeling,"Crime,Drama,Mystery",1059,English,27.50916,30/01/2008,141,Released,7.3,1131
13536,City By The Sea,"Crime,Drama,Mystery",1059,English,3.476966,06/09/2002,108,Released,5.7,92
617,Wild Things,"Crime,Drama,Mystery",1059,English,25.041992,20/03/1998,108,Released,6.3,444
290751,Secret in Their Eyes,"Crime,Drama,Mystery",1059,English,15.012237,14/10/2015,111,Released,6.2,336
37903,The White Ribbon,"Crime,Drama,Mystery",1059,German,17.94739,21/05/2009,144,Released,7.2,255
9504,Glengarry Glen Ross,"Crime,Drama,Mystery",1059,English,13.939054,15/09/1992,100,Released,7.5,323
3766,The Lady from Shanghai,"Crime,Drama,Mystery",1059,English,8.055084,24/12/1947,87,Released,7.2,102
592,"The,Conversation","Crime,Drama,Mystery",1059,English,20.810292,07/04/1974,113,Released,7.5,372
261023,Black Mass,"Crime,Drama",1060,English,46.049902,04/09/2015,122,Released,6.3,1242
4133,Blow,"Crime,Drama",1060,English,28.350529,04/04/2001,124,Released,7.4,1317
1646,Freedom Writers,"Crime,Drama",1060,English,17.746981,05/01/2007,123,Released,7.5,356
10673,Wall Street,"Crime,Drama",1060,English,24.898687,10/12/1987,126,Released,7,546
21612,The Funeral,"Crime,Drama",1060,English,2.950618,26/01/1996,99,Released,7.3,31
11109,Vera Drake,"Crime,Drama",1060,English,4.131918,22/10/2004,125,Released,6.8,80
227,The Outsiders,"Crime,Drama",1060,English,13.455373,25/03/1983,91,Released,6.9,291
235,Stand by Me,"Crime,Drama",1060,English,51.109279,22/08/1986,89,Released,7.8,1522
10734,Escape from Alcatraz,"Crime,Drama",1060,English,26.356697,22/06/1979,111,Released,7.2,561
398,Capote,"Crime,Drama",1060,English,17.434862,30/09/2005,114,Released,6.8,384
650,Boyz n the Hood,"Crime,Drama",1060,English,17.705671,12/07/1991,112,Released,7.4,364
504,Monster,"Crime,Drama",1060,English,19.683187,16/11/2003,110,Released,7,485
1429,25th Hour,"Crime,Drama",1060,English,30.196039,16/12/2002,135,Released,7.2,629
